철도운영기관명,선명,역명,역간거리(km)
서울교통공사,7호선,장암,0
서울교통공사,7호선,도봉산,1.4
서울교통공사,7호선,수락산,1.6
서울교통공사,7호선,마들,1.4
서울교통공사,7호선,노원,1.2
서울교통공사,7호선,중계,1.1
서울교통공사,7호선,하계,1
서울교통공사,7호선,공릉(서울과학기술대),1.3
서울교통공사,7호선,태릉입구,0.8
서울교통공사,7호선,먹골,0.9
서울교통공사,7호선,중화,0.9
서울교통공사,7호선,상봉(시외버스터미널),1
서울교통공사,7호선,면목,0.8
서울교통공사,7호선,사가정,0.9
서울교통공사,7호선,용마산,0.8
서울교통공사,7호선,중곡,0.9
서울교통공사,7호선,군자(능동),1.1
서울교통공사,7호선,어린이대공원(세종대),1.1
서울교통공사,7호선,건대입구,0.8
서울교통공사,7호선,뚝섬유원지,1
서울교통공사,7호선,청담,2
서울교통공사,7호선,강남구청,1.1
서울교통공사,7호선,학동,0.9
서울교통공사,7호선,논현,1
서울교통공사,7호선,반포,0.9
서울교통공사,7호선,고속터미널,0.9
서울교통공사,7호선,내방,2.2
서울교통공사,7호선,총신대입구(이수),1
서울교통공사,7호선,남성,1
서울교통공사,7호선,숭실대입구(살피재),2
서울교통공사,7호선,상도,0.9
서울교통공사,7호선,장승배기,0.9
서울교통공사,7호선,신대방삼거리,1.2
서울교통공사,7호선,보라매,0.8
서울교통공사,7호선,신풍,0.9
서울교통공사,7호선,대림(구로구청),1.4
서울교통공사,7호선,남구로,1.1
서울교통공사,7호선,가산디지털단지,0.8
서울교통공사,7호선,철산,1.4
서울교통공사,7호선,광명사거리,1.3
서울교통공사,7호선,천왕,1.7
서울교통공사,7호선,온수(성공회대입구),1.5
인천교통공사,7호선,까치울,2.2
인천교통공사,7호선,부천종합운동장,1.2
인천교통공사,7호선,춘의,0.8
인천교통공사,7호선,신중동,1
인천교통공사,7호선,부천시청,1.1
인천교통공사,7호선,상동,0.9
인천교통공사,7호선,삼산체육관,1.1
인천교통공사,7호선,굴포천,0.9
인천교통공사,7호선,부평구청,0.9
인천교통공사,7호선,산곡,1.6
인천교통공사,7호선,석남(거북시장),2.6
